name;code;ords_value;Parent category;Category Impact tool
"{""de"": ""Mixer"", ""en"": ""Blender"", ""fr"": ""Mélangeur / Mixeur"", ""nl"": ""Blender/mixer""}";melangeur-mixeur;37;Kitchen and Household items;
"{""de"": ""Bügelmaschine"", ""en"": ""Iron"", ""fr"": ""Fer à repasser"", ""nl"": ""Strijkijzer""}";iron;40;Kitchen and Household items;
"{""de"": ""Haartrockner"", ""en"": ""Hair dryer"", ""fr"": ""Sèche-cheveux"", ""nl"": ""Haardroger""}";hair-dryer;39;Kitchen and Household items;
"{""de"": ""Batterieladegerät"", ""en"": ""Battery/charger/adapter"", ""fr"": ""Batteries/chargeurs"", ""nl"": ""Batterijlader/adaptor""}";batterychargeradapter;2;Electronic gadgets;
"{""de"": ""Grosse Haushaltsgeräte"", ""en"": ""Large home electrical"", ""fr"": ""Grand appareil électroménager"", ""nl"": ""Groot huishoudelijk elektro""}";large-home-electrical;17;Kitchen and Household items;
"{""de"": ""Nähmaschine"", ""en"": ""Sewing machine"", ""fr"": ""Machine à coudre"", ""nl"": ""Naaimachine""}";sewing-machine;27;Kitchen and Household items;
"{""de"": ""Uhr"", ""en"": ""Watch/clock"", ""fr"": ""Horloge/montre"", ""nl"": ""Uurwerk/klok""}";watchclock;35;Other category;
"{""de"": ""Andere"", ""en"": ""Other"", ""fr"": ""Autre"", ""nl"": ""Andere""}";other;18;Other category;
"{""de"": ""Kleidung & Textilien"", ""en"": ""Clothing & textiles"", ""fr"": ""Vêtements & textile"", ""nl"": ""Kledij & textiel""}";clothing-textiles;18;Other category;
"{""de"": ""Möbel"", ""en"": ""Furniture"", ""fr"": ""Mobilier"", ""nl"": ""Meubels""}";furniture;18;Other category;
"{""de"": ""Fahrräd"", ""en"": ""Bicycle"", ""fr"": ""Vélo"", ""nl"": ""Fiets""}";bicycle;18;Other category;
"{""de"": ""Hosen"", ""en"": ""Trousers"", ""fr"": ""Pantalon"", ""nl"": ""Broek""}";trousers;18;Other category;
"{""de"": ""Kleid"", ""en"": ""Dress"", ""fr"": ""Robe"", ""nl"": ""Kleed""}";dress;18;Other category;
"{""de"": ""Rock"", ""en"": ""Skirt"", ""fr"": ""Jupe"", ""nl"": ""Rok""}";skirt;18;Other category;
"{""de"": ""Bluse / Hemd"", ""en"": ""Blouse / Shirt"", ""fr"": ""Blouse / Chemise"", ""nl"": ""Bloes / Hemd""}";blouse-shirt;18;Other category;
"{""de"": ""Jacke"", ""en"": ""Jacket"", ""fr"": ""Veste"", ""nl"": ""Jas""}";jacket;18;Other category;
"{""de"": ""Bettzeug"", ""en"": ""Bed linen"", ""fr"": ""Linge de lit"", ""nl"": ""Bedlinnen""}";bed-linen;18;Other category;
"{""de"": ""Andere Textilien"", ""en"": ""Other textile"", ""fr"": ""Autre textiles"", ""nl"": ""Ander textiel""}";other-textile;18;Other category;
"{""de"": ""Pullover"", ""en"": ""Jumper"", ""fr"": ""Pull"", ""nl"": ""Trui""}";jumper;18;Other category;
"{""de"": ""Tintenstrahldrucker"", ""en"": ""Inkjet printer"", ""fr"": ""Imprimante à jet d'encre"", ""nl"": ""Inktjetprinter""}";inktjetprinter;;;printer
"{""de"": ""Laserdrucker"", ""en"": ""Laser printer"", ""fr"": ""Imprimante laser"", ""nl"": ""Laserprinter""}";laserprinter;;;printer
"{""de"": ""Windows-Laptop"", ""en"": ""Windows laptop"", ""fr"": ""Ordinateur portable Windows"", ""nl"": ""Windows laptop""}";windows-laptop;;;"laptop - medium (13""-14"")"
"{""de"": null, ""fr"": ""Imprimante laser"", ""nl"": ""Laserprinter""}";laserprinter-1;;;printer
"{""de"": ""Smartphone Android"", ""en"": ""Smartphones Android"", ""fr"": ""Smartphone Android"", ""nl"": ""Smartphones Android""}";smartphones-android;;;
"{""de"": ""Smartphone Apple"", ""en"": ""Smartphone Apple"", ""fr"": ""Smartphone Apple"", ""nl"": ""Smartphone Apple""}";smartphone-apple;;;
"{""de"": ""Waschmaschine"", ""en"": ""Washing machine"", ""fr"": ""Lave-linge"", ""nl"": ""Wasmachine""}";washing-machine;;;washing machine
"{""de"": ""Laptop MacOS"", ""en"": ""Laptop MacOS"", ""fr"": ""Ordinateur portable MacOS"", ""nl"": ""Laptop MacOS""}";laptop-macos;;;"laptop - medium (13""-14"")"
